	Sample	GMHI_good	GMHI_bad	Frac_of_core_functions_among_all	Frac_of_core_functions_found	Species_found_together	Contributions_per_species
2152	O2_UC5_0	1	5	0.5242718446601942	0.6390532544378699	0.4634146341463415	53.78
2153	O2_UC5_2	2	5	0.4263565891472868	0.650887573964497	0.4634146341463415	54.791666666666664
2154	O2_UC50_0	0	3	0.5148514851485149	0.6153846153846154	0.4634146341463415	43.690140845070424
2155	O2_UC50_2	0	2	0.5323383084577115	0.6331360946745562	0.4146341463414634	45.31666666666667
2156	O2_UC51_0	1	1	0.4367816091954023	0.6745562130177515	0.4146341463414634	44.48571428571429
2157	O2_UC51_2	1	1	0.49074074074074076	0.6272189349112426	0.2926829268292683	46.68055555555556
2158	O2_UC52_0	0	1	0.547486033519553	0.5798816568047337	0.4146341463414634	38.771929824561404
2159	O2_UC52_2	0	1	0.5124378109452736	0.6094674556213018	0.4146341463414634	47.3
2160	O2_UC53_0	0	2	0.5401069518716578	0.5976331360946746	0.24390243902439024	50.26190476190476
2161	O2_UC53_2	0	1	0.5380434782608695	0.5857988165680473	0.04878048780487805	47.972972972972975
2162	O2_UC54_0	0	1	0.547486033519553	0.5798816568047337	0.24390243902439024	50.292682926829265
2163	O2_UC54_2	0	2	0.573170731707317	0.5562130177514792	0.04878048780487805	40.74285714285714
2164	O2_UC55_0	0	1	0.5344827586206896	0.5502958579881657	0.34146341463414637	40.450980392156865
2165	O2_UC55_2	0	0	0.5497076023391813	0.5562130177514792	0.34146341463414637	46.15555555555556
2166	O2_UC56_0	1	4	0.49029126213592233	0.5976331360946746	0.2926829268292683	46.51111111111111
2167	O2_UC56_2	1	5	0.5376344086021505	0.591715976331361	0.2926829268292683	45.25581395348837
2168	O2_UC57_0	1	3	0.572289156626506	0.5621301775147929	0.4146341463414634	48.32
2169	O2_UC57_2	1	2	0.5408163265306123	0.6272189349112426	0.4634146341463415	44.43859649122807
2170	O2_UC58_0	1	0	0.5172413793103449	0.621301775147929	0.5853658536585366	43.46774193548387
2171	O2_UC58_2	1	1	0.5257731958762887	0.6035502958579881	0.5121951219512195	43.71153846153846
2172	O2_UC59_0	0	5	0.5074626865671642	0.6035502958579881	0.36585365853658536	52.05882352941177
2173	O2_UC59_2	0	5	0.5271739130434783	0.5739644970414202	0.36585365853658536	50.142857142857146
2174	O2_UC60_0	1	3	0.5098039215686274	0.6153846153846154	0.5609756097560976	37.01449275362319
2175	O2_UC60_2	1	1	0.5502958579881657	0.5502958579881657	0.5121951219512195	40.459016393442624
2176	O2_UC9_0	1	6	0.49056603773584906	0.6153846153846154	0.5121951219512195	50.09230769230769
2177	O2_UC9_2	1	4	0.507177033492823	0.6272189349112426	0.4634146341463415	50.0377358490566
2178	V1_CD1_0	0	3	0.648	0.47928994082840237	0.3170731707317073	40.76470588235294
2179	V1_CD10_0	1	11	0.3536977491961415	0.650887573964497	0.3170731707317073	69.53571428571429
2180	V1_CD11_0	0	5	0.5341614906832298	0.5088757396449705	0.2682926829268293	24.444444444444443
2181	V1_CD12_0	0	7	0.5454545454545454	0.5680473372781065	0.0	38.7
2182	V1_CD13_0	1	1	0.5870967741935483	0.5384615384615384	0.36585365853658536	38.083333333333336
2183	V1_CD14_0	0	1	0.5491329479768786	0.5621301775147929	0.5609756097560976	39.40425531914894
2184	V1_CD15_0	2	6	0.5664739884393064	0.5798816568047337	0.24390243902439024	48.095238095238095
2185	V1_CD15_3	2	6	0.4698275862068966	0.6449704142011834	0.36585365853658536	54.46
